Nombre,Precio USD,Dirección,M2 Totales,Ambientes,Baños
DEPARTAMENTO 2 DORMITORIOS - SOBRE PEATONAL,75.000,San Martín 2000,46.46,4,1
CASA A LA VENTA EN CLUB DE CAMPO EL PASO,Solicitar precio,Autovia Santa Fe- Rosario 9900,800,5,4
VENTA DPTO 1 DORM FOMENTO 9 DE JULIO,88.010.000ARS,Avenida Facundo Zuviría 4600,63,2,1
Dpto 2 dorm. MUNDO Bv. GALVEZ 1712 PLAZA PUYRREDON,345.000,Boulevard Gálvez 1700,110,3,2
Dpto 2 dorm. MUNDO Bv. GALVEZ 1712 PLAZA PUYRREDON,330.000,Boulevard Gálvez 1700,110,3,2
VENTA PLANTA ALTA ARISTÓBULO del VALLE y Dgo SILVA,Solicitar precio,Domingo Silva 2400,79,4,1
Se vende Lote en Fincas San José,29.900,Ruta Nacional 19 S/N,,,
Terreno 1.000 mts2 parquizado Villa California,42.000,Río de Oro 2800,,,
Terreno 1.000 mts2 parquizado Villa California,37.000,Río de Oro 2800,,,
Importante casa en Villa California,250.000,Río de Oro 2800,412,7,4
Se Vende Departamento dos dormitorios Zona Centro.,63.000,La Rioja 2900,66,3,1
CASA SOBRE AZCUÉNAGA Y ARISTÓBULO SANTO TOME,62.000,Azucenaga 3000,220,5,2
Venta Cochera Céntrica.,7.000,Juan de Garay 3000,15,,
"Oportunidad casa, primera vivienda o inversor",23.000,Azcuénaga 5600,104,3,1
"OPORTUNIDAD EN RECREO SUR, CASA 7 AÑOS DE ANTG.",32.000,Los Chañares 300,203,3,1
OPORTUNIDAD! primera vivienda o inversión,35.000,Misiones 5300,215,3,1
EXCELENTE CASA QUINTA SAUCE VIEJO,Solicitar precio,Rodolfo Walsh 2800,436,4,2
"Amplio terreno en zona Norte, ideal para galpón",45.000,Azopardo 8400,,,
BARRIO LOYOLA SUR .  3 CASAS  A REFACCIONAR .,15.000,Calle José Pedroni 6600,200,4,3
BARRIO LOYOLA SUR . CASA A REFACCIONAR,15.000,Doctora Calle Grierson 8400,95,,
Casa más Departamento. Oportunidad.,65.000,Pavón 1900,198,4,2
DPTO INTERNO 1 - AV. ARISTOBULO DEL VALLE 9245,Solicitar precio,Aristobulo del Valle 9200,60,2,1
DPTO INTERNO AV. ARISTOBULO DEL VALLE 9245,32.000,Avenida Aristóbulo del Valle 9200,84,2,1
Terreno en Sauce Viejo a 200  mts de la Costa,15.000,Calle 63 2100,,,
loteo en Sauce Viejo a 200 mt del rio.,15.000,Calle 63 2100,,,
SE VENDE TERRENO EN SAUCE VIEJO,Solicitar precio,Calle Pública S/n-sauce Viejo S/N,,,
SE VENDE TERRENO EN SAUCE VIEJO,Solicitar precio,Calle Pública S/n-sauce Viejo S/N,,,
DPTO interno 2 dorm zona centro oportunidad,58.000,4 de Enero 2300,70,3,1
SE VENDE TERRENO EN SAUCE VIEJO,Solicitar precio,Calle Pública S/n-sauce Viejo S/N,,,
SE VENDE TERRENO EN SAUCE VIEJO,Solicitar precio,Calle Pública S/n-sauce Viejo S/N,,,
CASA EN VENTA 2 DORM. COCHERA BARRIO SUR,125.000,Entre Rios 3200,152,4,2
Casa en Venta en Recreo – Las Mercedes,63.000,Carlos Acuña Ramos Mejía 1700,138,3,1
CASA en VENTA en ARROYO LEYES,60.000,Arroyo Leyes. Calle Pública S/n 0,107.13,4,1
VENTA DE TERRENO EN ARROYO LEYES,21.000,"Ruta Provincial 1, Km 16,5 S/N",,,
Puerta Amarras II - 1 Dormitorio con Cochera,130.000,Calle 1º de Enero 0,49.66,2,1
Depto premium 2dorm con excelente vista y cochera,230.000,Alvear 2600,98.3,3,2
Se venden dos casas quintas en Arroyo Leyes,55.000,Boulevard los Carolinos 3000,160,2,1
Se venden dos casas quintas en Arroyo Leyes,45.000,Boulevard los Carolinos 3000,160,2,1
VENTA CASA DE 2 DORMITORIOS EN DON CARMELO,74.000,Boulevard los Pinos 0,897,4,1
Venta Casa en Country Los Molinos,240.000,"Country Club los Molinos, Calle 21- 0",600,7,3
CASA  + MONOAMBIENTE,55.000,Ignacio Risso 1000,210,3,2
DEPARTAMENTO 1 DORMOTORIO CON EXCELENTE VISTA,59.000,1º de Mayo 1700,40,2,1
Se vende casa dos dormitorios B. Sargento Cabral,79.000,Martin Zapata 1800,112,4,1
Departamento de dos dormitorios y cochera en venta,98.000,San Martín 1900,62.14,3,1
SE VENDE TERRENO EN SAUCE VIEJO,Solicitar precio,Calle Pública S/n Sauce Viejo S/N,,,
VENTA - IDEAL EMPRENDIMIENTO CANINO CON VIVIENDA,55.000,9 0,1650,5,1
VENTA CASA EN SANTO TOME CON PATIO Y PISCINA,87.000,Arenales 2300,201,5,1
DEPARTAMENTO 1 DORM PILAY ADJUDICADO,22.000,Eva Perón 2200,45,2,1
Venta departamento 3 dormitorios. Zona Sur.,85.000,9 de Julio 1200,10,4,1
REMAX VENDE DEPARTAMENTO 2D SAN TOMAS PUEBLO VERDE,95.000,Autopista Rosario - Santa Fe 0,100,4,1
LOTE A LA VENTA - B° Privado LA RESERVA (700 m2),70.000,Lote 47 0,,,
Se vende dpto de dos dormitorios en peatonal!,89.000,San Martín 2500,64.78,3,1
SE VENDE FIAMBRERÍA A METROS DE LAS 5 ESQUINAS,12.000,Avenida 7 de Marzo 2200,32,,1
Remax vende Monoambiente Excelente ubicación,48.000,Dr. Zavalla 3200,27,1,1
"CASA PB EN BARRIO CENTENARIO , CON COCHERA Y PATIO",59.000,Independencia 3000,288,5,1
"Lote en barrio ""La Mansa"" Nuevos Aires",Solicitar precio,Autopista Rosario - Santa Fe S/N,,,
Dpto 2 dormitorios 2 baños y cochera en venta,225.000,Alvear 2600,86,3,2
TERRENO INTERNO CON CASA A REFACCIONAR/DEMOLER,41.000,Ruperto Godoy 2400,,,
Venta de gran propiedad a mtrs. de Peñaloza,110.000,Santiago Derqui 3800,364,4,2
VENTA LOTE ARROYO LEYES A 5 CUADRAS DE LA RUTA,19.800,Calle 79 S/N,,,
Terreno con muy bun accesos por avenidas,Solicitar precio,D. French 3200,,,
Casa Quinta con Pileta,Solicitar precio,Padre Mazari 5400,78.3,6,2
Casa de dos dormitorios más local comercial.,28.000,Monseñor Zazpe 3900,124,5,1
Terreno en venta,10.000,Calle N°16 S/N,,,
CASAQUINTA RUTA 1 KM 13 ARROYO LEYES - EN VENTA,53.000,Los Flamencos Entre Calle 42 y Avenida de Lluvia 0,120,3,1
DEPARTAMENTO EN VENTA – B° CONSTITUYENTES,75.000,1ero de Mayo 2900,104.5,3,1
CASA MODERNA DE 3 DORMITORIOS EN VILLA CALIFORNIA,130.000,Las Torcacitas 2600,750,5,2
Cochera constituyente,10.000,Santiago del Estero 2800,12,,
Remax vende casa de dos dormitorios y patio seco,64.500,Dr. Zavalla 1700,160,4,1
VENTA DE HECTÁREAS EN SAUCE VIEJO SOBRE RUTA 11,Solicitar precio,Ruta Nacional 11 y  Uspallata S/N,1.8,,
EXCLUSIVO LOTE EN EL PINAR,90.000,Lote en el Pinar 200,,,
Terreno en venta en Sauce viejo Los conquistadores,9.500,Calle 47 S/N,,,
Se vende depto tres dormitorios en Sargento Cabral,73.000,Pedro Zenteno 2100,60.8,5,1
SE VENDE TERRENO EN LOTEO SAN MIGUEL 1,21.000,Dr. Ángel Gallardo S/N,,,
Amplia Casa con Cochera y Gran Patio Verde,42.000,Aguado 2200,98,2,1
Vendo Excelente Departamento!!!,128.000,Amenábar 3200,92.99,3,1
"SE VENDE HERMOSA CASA EN EL PASO, DESOCUPADA",320.000,Autovia Santa Fe- Rosario 0,180,4,2
CONJUNTO ARZAMENDIA - DEPARTAMENTO EN POZO,54.000,Pasaje Arzamendia 5900,44.5,2,1
Casa de categoría  en zona norte,120.000,Los Nogales 2400,216,4,2
Venta departamento un dormitorio oportunidad,65.000,Regis Martínez 1700,45,2,1
Venta - Quinta Arroyo Leyes,35.000,C. los Crestones 0,109.6,3,2
VENTA TERRENO,16.000,Formosa S/n S/N,,,
Se vende Cochera en Microcentro - Eva Perón 2411,5.500,Eva Peron 2400,12.5,,
"VENTA: LOCAL EN CONSTRUCCIÓN, EXCELENTE UBICACION",120.000,La Rioja 2400,96.08,,1
TERRENO P/ DESARROLLO INMOBILIARIO ZONA TRIBUNALES,600.000,San Jeronimo 1400,,,
CASA 3 HABITACIONES EN SANTO TOMÉ,67.000,Juan José Paso 1300,190,6,2
REMAX VENDE CASA 3 HABITACIONES,42.000,Pasaje Paraná 3800,57,5,2
Dpto de 2 dorm amplio en pleno Constituyentes,105.000,Obispo Gelabert 3300,75,3,1
Casa Funcional con dos locales comerciales. Centro,275.000,Lisandro de la Torre 2500,320,10,4
CASA INTERNA AMPLIA 2 DORM A MTS DEL CENTRO,68.000,"25 de Mayo, 1600",115,4,1
OPORTUNIDAD A REFACCIONAR EN B° SGTO CABRAL,42.000,Alberdi 5500,190,4,1
Terreno en venta sobre Av. French,46.350,Avenida French 2600,,,
Terreno Zona Norte,35.000,Callejón Funes S/N,,,
CONJUNTO ARZAMENDIA - DEPARTAMENTO EN POZO,51.000,Pasaje Arzamendia 5900,44.5,2,1
CONJUNTO ARZAMENDIA - DEPARTAMENTO EN POZO,49.000,Pasaje Arzamendia 5900,39.5,2,1
"VENTA DE DPTO 2 DORMITORIOS ""BOULLEVAR CENTER"" T 1",Solicitar precio,San Martín 3600,80,3,2
CONJUNTO ARZAMENDIA - DEPARTAMENTO EN POZO,51.000,Pasaje Arzamendia 5900,44.5,2,1
Casa en venta de 2 dormis y piscina a estrenar,79.000,Juan M de Rosas Esquina Alberti 1200,75,3,1
VENTA DE DEPARTAMENTO 1 DORMITORIO FINANCIADO,Solicitar precio,Sara Faisal 1800,54,2,1
"EN VENTA PLANATA ALTA, 2 DORM, Z/CENTRICA STO TOME",60.000,Pasaje Hernández 2600,92,3,1
CASA EN VENTA - BARRIO CANDIOTI,148.000,Castellanos1 2000,72,2,1
Se VENDE Fondo De Comercio de lavadero en Bv.,35.000.000ARS,1º de Mayo 3400,150,,2
VENDEMOS CAMPO 3has ARROYO LEYES km 19,80.000,Zona Rural S/N,,,
Inversor Fideicomitente. Desarrollo Exclusivo.,249.000,Tucuman 2900,170,7,3
Venta Dpto 2 dorm. en desarrollo - Excelente zona,125.700,San Lorenzo 2700,74.5,3,2
"Casa 2 Dorm, 2 Patios, Guadalupe Este",47.000,Velez Sarsfield 6700,83,4,1
VENTA GRAN TERRENO,45.000,Los Poetas 2000,,,
Tu hogar te está esperando!!,67.000,Zavalla 1800,250,5,2
SE VENDE EXCELENTE CASA AL FRENTE EN SANTO TOME!!,82.000,Rivadavia 1200,135,6,2
SE VENDE CASA-QUINTA EN SAUCE!!!,145.000,Calle Presidente Bartolomé Mitre 1100,219,4,2
LOTE EN LOS DOMINGOS - ETAPA 1,32.500,Los Domingos S/N,,,
LOTE EN LOS DOMINGOS - ETAPA 1,32.500,Los Domingos S/N,,,
Venta Cochera Urquiza y Juan de Garay,8.900,Urquiza 2000,15,,
VENTA CASA EN CALLE BELGRANO 5600-B° Sgto. Cabral,85.000,Belgrano 5600,90,3,1
Casa elevada con amplio terreno en Arroyo Leyes,40.000,Los Tordos 0,94,3,2
TERRENO APTO PARA EMPRENDIMIENTO ó LOCAL CÉNTRICO.,250.000,Rivadavia 2700,,,
CONJUNTO ARZAMENDIA - DEPARTAMENTO EN POZO,52.000,Pasaje Arzamendia 5900,39.5,2,1
CONJUNTO ARZAMENDIA - DEPARTAMENTO EN POZO,54.000,Pasaje Arzamendia 5900,44.5,2,1
CONJUNTO ARZAMENDIA - DEPARTAMENTO EN POZO,56.000,Pasaje Arzamendia 5900,51,2,1
VENTA CASA CON COHERA EN SANTO TOME,90.000,Gaboto 2300,147,6,2
